ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
2,8,37,79,932.0,890.0,8.0,
3,8,37,79,932.0,890.0,8.0,
5,8,40,82,932.0,890.0,8.0,
8,8,12,54,932.0,890.0,8.0,
9,8,174,216,932.0,890.0,8.0,
10,8,77,119,932.0,890.0,8.0,
11,8,77,119,932.0,890.0,8.0,
13,8,1350,1392,932.0,890.0,8.0,
14,8,1350,1392,932.0,890.0,8.0,
15,8,1350,1392,932.0,890.0,8.0,
18,8,1350,1392,932.0,890.0,8.0,
21,8,1350,1392,932.0,890.0,8.0,
22,8,189,231,932.0,890.0,8.0,
23,8,1350,1392,932.0,890.0,8.0,
24,8,84,126,932.0,890.0,8.0,
25,8,1350,1392,932.0,890.0,8.0,
26,8,1350,1392,932.0,890.0,8.0,
29,8,40,82,932.0,890.0,8.0,
30,8,1350,1392,932.0,890.0,8.0,
33,8,33,75,932.0,890.0,8.0,
34,8,33,75,932.0,890.0,8.0,
35,8,33,75,932.0,890.0,8.0,
36,8,33,75,932.0,890.0,8.0,
37,8,324,366,932.0,890.0,8.0,
38,8,276,318,932.0,890.0,8.0,
40,8,52,94,932.0,890.0,8.0,
44,8,37,79,932.0,890.0,8.0,
53,8,813,855,932.0,890.0,8.0,
54,8,1350,1392,932.0,890.0,8.0,
55,8,1350,1392,932.0,890.0,8.0,
56,8,1350,1392,932.0,890.0,8.0,
57,8,44,86,932.0,890.0,8.0,
58,8,1350,1392,932.0,890.0,8.0,
59,8,41,83,932.0,890.0,8.0,
60,8,1350,1392,932.0,890.0,8.0,
61,8,1350,1392,932.0,890.0,8.0,
62,8,41,83,932.0,890.0,8.0,
63,8,1350,1392,932.0,890.0,8.0,
64,8,1350,1392,932.0,890.0,8.0,
65,8,41,83,932.0,890.0,8.0,
66,8,1350,1392,932.0,890.0,8.0,
67,8,1350,1392,932.0,890.0,8.0,
68,8,41,83,932.0,890.0,8.0,
69,8,1350,1392,932.0,890.0,8.0,
70,8,1350,1392,932.0,890.0,8.0,
71,8,41,83,932.0,890.0,8.0,
72,8,1350,1392,932.0,890.0,8.0,
73,8,1350,1392,932.0,890.0,8.0,
74,8,41,83,932.0,890.0,8.0,
75,8,1350,1392,932.0,890.0,8.0,
76,8,1350,1392,932.0,890.0,8.0,
77,8,41,83,932.0,890.0,8.0,
78,8,1350,1392,932.0,890.0,8.0,
79,8,1350,1392,932.0,890.0,8.0,
80,8,41,83,932.0,890.0,8.0,
81,8,1350,1392,932.0,890.0,8.0,
82,8,1350,1392,932.0,890.0,8.0,
83,8,41,83,932.0,890.0,8.0,
84,8,1350,1392,932.0,890.0,8.0,
85,8,1350,1392,932.0,890.0,8.0,
86,8,41,83,932.0,890.0,8.0,
87,8,1350,1392,932.0,890.0,8.0,
88,8,1350,1392,932.0,890.0,8.0,
89,8,41,83,932.0,890.0,8.0,
90,8,1350,1392,932.0,890.0,8.0,
91,8,1350,1392,932.0,890.0,8.0,
92,8,41,83,932.0,890.0,8.0,
93,8,1350,1392,932.0,890.0,8.0,
94,8,1350,1392,932.0,890.0,8.0,
95,8,41,83,932.0,890.0,8.0,
96,8,1350,1392,932.0,890.0,8.0,
97,8,1350,1392,932.0,890.0,8.0,
98,8,41,83,932.0,890.0,8.0,
99,8,1350,1392,932.0,890.0,8.0,
100,8,1350,1392,932.0,890.0,8.0,
101,8,41,83,932.0,890.0,8.0,
102,8,1350,1392,932.0,890.0,8.0,
103,8,1350,1392,932.0,890.0,8.0,
104,8,41,83,932.0,890.0,8.0,
105,8,1350,1392,932.0,890.0,8.0,
106,8,1350,1392,932.0,890.0,8.0,
107,8,41,83,932.0,890.0,8.0,
108,8,1350,1392,932.0,890.0,8.0,
109,8,1350,1392,932.0,890.0,8.0,
110,8,41,83,932.0,890.0,8.0,
111,8,1350,1392,932.0,890.0,8.0,
112,8,1350,1392,932.0,890.0,8.0,
113,8,41,83,932.0,890.0,8.0,
114,8,1350,1392,932.0,890.0,8.0,
115,8,1350,1392,932.0,890.0,8.0,
116,8,41,83,932.0,890.0,8.0,
117,8,1350,1392,932.0,890.0,8.0,
118,8,1350,1392,932.0,890.0,8.0,
119,8,41,83,932.0,890.0,8.0,
120,8,1350,1392,932.0,890.0,8.0,
121,8,1350,1392,932.0,890.0,8.0,
122,8,41,83,932.0,890.0,8.0,
123,8,1350,1392,932.0,890.0,8.0,
124,8,1350,1392,932.0,890.0,8.0,
125,8,41,83,932.0,890.0,8.0,
126,8,1350,1392,932.0,890.0,8.0,
127,8,1350,1392,932.0,890.0,8.0,
128,8,41,83,932.0,890.0,8.0,
129,8,1350,1392,932.0,890.0,8.0,
130,8,1350,1392,932.0,890.0,8.0,
131,8,1350,1392,932.0,890.0,8.0,
132,8,41,83,932.0,890.0,8.0,
133,8,1350,1392,932.0,890.0,8.0,
134,8,1350,1392,932.0,890.0,8.0,
135,8,1350,1392,932.0,890.0,8.0,
136,8,1350,1392,932.0,890.0,8.0,
137,8,1350,1392,932.0,890.0,8.0,
138,8,41,83,932.0,890.0,8.0,
139,8,1350,1392,932.0,890.0,8.0,
140,8,41,83,932.0,890.0,8.0,
141,8,41,83,932.0,890.0,8.0,
142,8,1350,1392,932.0,890.0,8.0,
143,8,41,83,932.0,890.0,8.0,
144,8,1350,1392,932.0,890.0,8.0,
145,8,1350,1392,932.0,890.0,8.0,
146,8,41,83,932.0,890.0,8.0,
147,8,1350,1392,932.0,890.0,8.0,
148,8,1350,1392,932.0,890.0,8.0,
149,8,41,83,932.0,890.0,8.0,
150,8,1350,1392,932.0,890.0,8.0,
151,8,1350,1392,932.0,890.0,8.0,
152,8,41,83,932.0,890.0,8.0,
153,8,1350,1392,932.0,890.0,8.0,
154,8,1350,1392,932.0,890.0,8.0,
155,8,41,83,932.0,890.0,8.0,
156,8,1350,1392,932.0,890.0,8.0,
157,8,1350,1392,932.0,890.0,8.0,
158,8,41,83,932.0,890.0,8.0,
159,8,1350,1392,932.0,890.0,8.0,
